n,d
1,0.8397462718475038
11,3.0013907308736645
21,4.186852926770146
31,4.901891398714976
41,5.628070490312289
51,6.542108250987075
61,7.948653412717425
71,7.28956297056622
81,7.685248353210702
91,8.566945066165097
101,8.677577010449394
111,7.977123723461599
121,9.946281688425
131,9.406408996903478
141,11.021627151294142
151,10.046306433389766
161,10.978406442909456
171,12.486281316364728
181,12.642839341288084
191,12.547751893286959
201,12.393647581605373
211,12.623146415536727
221,13.147930317922993
231,12.89479104486136
241,12.4243897621624
251,12.812524048688719
261,15.578324291241927
271,14.988770664865138
281,13.8482302796289
291,14.993547939830249
301,15.242141755212229
311,16.620550065458517
321,16.548263996292228
331,16.28033401026899
341,17.867582681757597
351,16.575402089850975
361,16.50994608403771
371,15.700913146542224
381,17.215342327731197
391,15.956721105146942
401,18.577330655594288
411,17.378170824211963
421,18.03289166502993
431,18.315839608289142
441,19.454506911503447
451,17.938533887927626
461,19.166221236966383
471,19.224660256074408
481,20.83795511056483
491,20.223496653355298
501,19.44800718512793
511,20.543688184254382
521,19.5801137475351
531,20.111189512928725
541,18.689130780322543
551,21.546863623255607
561,20.498842905961894
571,21.088632431862912
581,19.760746987695914
591,22.101638483652483
601,19.94728236915097
611,22.443859985185405
621,23.35508116710894
631,24.088744464675408
641,21.04105147085686
651,22.928351511147316
661,21.929464853667035
671,21.61755884151433
681,25.091302650455148
691,24.436119914454085
701,21.511763036352768
711,23.554935792832126
721,24.691834986083112
731,28.54139988120863
741,26.550498739518552
751,25.151335549955366
761,22.627538711388073
771,25.978642169869474
781,24.216062504869146
791,23.838018331407756
801,27.732758513739036
811,28.03955735278425
821,29.495374315732906
831,26.917025309203588
841,22.608294134513244
851,24.891210621105568
861,26.3635519267404
871,26.667006351741303
881,25.956743700804058
891,27.1339996506914
901,25.419512714373447
911,28.618390503925532
921,26.774109805455325
931,29.573907605385326
941,26.86202767631876
951,27.91154044868566
961,27.151130652942836
971,29.925384305920094
981,27.332479475595903
991,26.65118315360571
1001,28.83691579290378
1011,26.054698203703822
1021,26.902763926356428
1031,28.25663240270254
1041,26.982586165301235
1051,30.69066955638128
1061,27.513856480511034
1071,28.756735645700687
1081,28.15157033360151
1091,29.428817511198368
1101,28.966797260739032
1111,26.537415688994603
1121,28.31890146425423
1131,28.11931351273048
1141,30.466865028007767
1151,31.212142069400592
1161,25.86217808279132
1171,28.228145190889666
1181,29.533838532377963
1191,33.01227884669431
1201,30.706735810093846
1211,30.244080422405816
1221,25.783549957041473
1231,32.76390538348353
1241,34.33386328451379
1251,31.67856132541723
1261,30.192056653379268
1271,33.665824662733655
