inputSize,pairCount
64,160.6
94,235.4
124,324.5
154,449.4
184,525.0
214,638.2
244,651.8
274,836.9
304,999.8
334,963.6
364,1147.3
394,1351.5
424,1483.7
454,1590.9
484,1734.1
514,1644.6
544,1798.1
574,2103.1
604,2286.7
634,2241.9
664,2208.7
694,2389.1
724,2817.3
754,2834.6
784,2756.3
814,2965.6
844,3255.9
874,3257.5
904,3370.7
934,3304.4
964,3210.2
994,3515.5
1024,3245.9
1054,3734.6
1084,4303.6
1114,4235.3
1144,4227.4
1174,4085.1
1204,4380.3
1234,4315.2
1264,5241.4
1294,4920.9
1324,5323.0
1354,5140.6
1384,5224.2
1414,5959.4
1444,5774.9
1474,5672.0
1504,5650.9
1534,5973.5
1564,5594.5
1594,6188.2
1624,6419.0
1654,7523.1
1684,7110.8
1714,6763.4
1744,7090.8
1774,7386.8
1804,7587.7
1834,7971.4
1864,7737.8
1894,8182.4
1924,7346.1
1954,8336.9
1984,7823.4
2014,8564.2
2044,7873.2
2074,7982.8
2104,10205.6
2134,8583.0
2164,8593.5
2194,9626.7
2224,8750.2
2254,10033.2
2284,9966.0
2314,9282.8
2344,9694.4
2374,10997.8
2404,10106.3
2434,9797.9
2464,10563.5
2494,10343.4
2524,10224.7
2554,10989.2
2584,10440.7
2614,11143.7
2644,12311.6
2674,11361.5
2704,11956.1
2734,12607.8
2764,11628.2
2794,12004.1
2824,12302.4
2854,12041.3
2884,12926.6
2914,13812.2
2944,13686.2
2974,13983.4
3004,13438.2
3034,12874.8
3064,12957.8
3094,12137.6
3124,14456.4
3154,14298.1
3184,13458.5
3214,13614.4
3244,13653.0
3274,13778.8
3304,14591.6
3334,14604.7
3364,14239.8
3394,15412.2
3424,14197.5
3454,14962.8
3484,15234.2
3514,14856.4
3544,15870.4
3574,15891.1
3604,15176.5
3634,15994.1
3664,16387.4
3694,16696.6
3724,15134.6
3754,17124.0
3784,16804.7
3814,16122.8
3844,16700.4
3874,16729.4
3904,18247.4
3934,17614.0
3964,17422.6
3994,18147.3
4024,18027.1
4054,18488.5
4084,17428.6
4114,18449.7
4144,18124.2
4174,18059.4
4204,16959.5
4234,18841.0
4264,18254.4
4294,17825.7
4324,19081.1
4354,17854.3
4384,20096.3
4414,18899.4
4444,21922.6
4474,19192.7
4504,22477.0
4534,21469.8
4564,21201.5
4594,20514.3
4624,20101.7
4654,22048.4
4684,20601.5
4714,20481.2
4744,21417.4
4774,21676.7
4804,20801.2
4834,21913.0
4864,22107.5
4894,21460.7
4924,21441.9
4954,21272.6
4984,23131.6
5014,21879.3
5044,23800.0
5074,23729.4
5104,22960.3
5134,21805.8
5164,23152.6
5194,25176.9
5224,23689.7
5254,22746.7
5284,23985.4
5314,25036.4
5344,23106.6
5374,25298.8
5404,22922.2
5434,23638.6
5464,26859.4
5494,26802.4
5524,25187.5
5554,25187.4
5584,24261.9
5614,26558.5
5644,26092.8
5674,24660.1
5704,27714.7
5734,26623.1
5764,27606.6
5794,25004.6
5824,28209.1
5854,29106.6
5884,26218.1
5914,28029.9
5944,26808.8
5974,28463.4
6004,29283.6
6034,27741.7
6064,27900.2
6094,28364.5
6124,27880.8
6154,27375.7
6184,28207.9
6214,30897.7
6244,29386.0
6274,28703.6
6304,29504.0
6334,30572.6
6364,28105.9
6394,29701.5
6424,31270.7
6454,27869.9
6484,32914.3
6514,30599.6
6544,31270.2
6574,30247.7
6604,30260.8
6634,31604.3
6664,30987.1
6694,30126.5
6724,34260.8
6754,34045.5
6784,34221.1
6814,31245.6
6844,31846.6
6874,32231.5
6904,31896.4
6934,33070.1
6964,31143.4
6994,30941.9
7024,33109.1
7054,32805.6
7084,33188.2
7114,34733.9
7144,35025.8
7174,33451.1
7204,32509.0
7234,35887.0
7264,32830.0
7294,31833.7
7324,38129.9
7354,34473.0
7384,36693.3
7414,34963.1
7444,37636.7
7474,35659.7
7504,36955.6
7534,35557.8
7564,37526.1
7594,35747.6
7624,35455.0
7654,37395.5
7684,34530.9
7714,35234.6
7744,36528.9
7774,35669.3
7804,35791.2
7834,38988.9
7864,37984.5
7894,35323.2
7924,37335.5
7954,37051.7
7984,38520.3
8014,40669.9
8044,38852.9
8074,36308.3
8104,39444.7
8134,39729.2
8164,37348.2
8194,40713.8
8224,40019.1
8254,40566.7
8284,43138.0
8314,39607.5
8344,40806.8
8374,39359.6
8404,39855.1
8434,41967.9
8464,41397.8
8494,41160.1
8524,39235.1
8554,42958.4
8584,38212.3
8614,39092.2
8644,42210.8
8674,38264.2
8704,40711.2
8734,43981.1
8764,44109.8
8794,43220.5
8824,40670.7
8854,43125.0
8884,42287.7
8914,43616.2
8944,40263.7
8974,43045.6
9004,45179.9
9034,45789.3
9064,41511.5
9094,42594.3
9124,44819.3
9154,44252.3
9184,42572.5
9214,43817.7
9244,43530.1
9274,46156.4
9304,42314.8
9334,46630.8
9364,43606.7
9394,47136.7
9424,45913.7
9454,47630.3
9484,42424.3
9514,46952.5
9544,50163.9
9574,48678.8
9604,43299.0
9634,45212.5
9664,49236.3
9694,50195.4
9724,45784.3
9754,47330.9
9784,49748.8
9814,45638.3
9844,46525.4
9874,50509.1
9904,46921.9
9934,48843.1
9964,52037.7
9994,49968.8
