size,thread_count,cutoff,time
262144,1,510000,55.6
262144,1,560000,19.0
262144,1,610000,19.1
262144,1,660000,19.4
262144,1,710000,16.8
262144,1,760000,16.2
262144,1,810000,16.2
262144,1,860000,16.6
262144,1,910000,16.9
262144,1,960000,16.4
262144,2,510000,25.2
262144,2,560000,29.5
262144,2,610000,16.9
262144,2,660000,17.9
262144,2,710000,17.6
262144,2,760000,16.8
262144,2,810000,16.0
262144,2,860000,17.5
262144,2,910000,16.6
262144,2,960000,15.9
262144,4,510000,15.8
262144,4,560000,15.8
262144,4,610000,15.9
262144,4,660000,16.4
262144,4,710000,15.7
262144,4,760000,16.0
262144,4,810000,16.6
262144,4,860000,16.2
262144,4,910000,17.3
262144,4,960000,17.0
262144,8,510000,16.9
262144,8,560000,16.8
262144,8,610000,16.1
262144,8,660000,16.1
262144,8,710000,16.6
262144,8,760000,16.0
262144,8,810000,16.5
262144,8,860000,16.8
262144,8,910000,16.1
262144,8,960000,17.0
262144,16,510000,16.3
262144,16,560000,16.3
262144,16,610000,17.3
262144,16,660000,16.1
262144,16,710000,15.7
262144,16,760000,16.7
262144,16,810000,16.0
262144,16,860000,16.1
262144,16,910000,16.0
262144,16,960000,15.9
524288,1,510000,40.1
524288,1,560000,35.7
524288,1,610000,34.1
524288,1,660000,34.6
524288,1,710000,35.4
524288,1,760000,34.8
524288,1,810000,35.1
524288,1,860000,34.5
524288,1,910000,34.8
524288,1,960000,35.1
524288,2,510000,23.8
524288,2,560000,35.4
524288,2,610000,43.2
524288,2,660000,39.2
524288,2,710000,34.8
524288,2,760000,34.1
524288,2,810000,33.6
524288,2,860000,36.2
524288,2,910000,35.2
524288,2,960000,34.5
524288,4,510000,24.4
524288,4,560000,34.0
524288,4,610000,33.6
524288,4,660000,34.9
524288,4,710000,35.2
524288,4,760000,34.4
524288,4,810000,35.7
524288,4,860000,35.0
524288,4,910000,35.0
524288,4,960000,33.6
524288,8,510000,22.7
524288,8,560000,36.7
524288,8,610000,46.7
524288,8,660000,34.7
524288,8,710000,34.2
524288,8,760000,34.6
524288,8,810000,33.9
524288,8,860000,36.1
524288,8,910000,36.4
524288,8,960000,37.6
524288,16,510000,23.7
524288,16,560000,34.4
524288,16,610000,35.3
524288,16,660000,34.2
524288,16,710000,34.1
524288,16,760000,33.6
524288,16,810000,34.1
524288,16,860000,34.1
524288,16,910000,33.8
524288,16,960000,34.1
1048576,1,510000,72.1
1048576,1,560000,78.0
1048576,1,610000,80.1
1048576,1,660000,77.5
1048576,1,710000,79.1
1048576,1,760000,76.5
1048576,1,810000,77.3
1048576,1,860000,75.6
1048576,1,910000,78.3
1048576,1,960000,76.2
1048576,2,510000,66.5
1048576,2,560000,47.7
1048576,2,610000,46.7
1048576,2,660000,47.7
1048576,2,710000,48.5
1048576,2,760000,46.4
1048576,2,810000,48.2
